Datetime,Comments,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Flow_predicted (gpm),Level (inches),Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Manual Measurement (inches),Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2016-05-19 10:45:00,,,4.009,,,,,,,,,,,,,,2.1,2.1,6.0,33.5,14.547,14.547,14.547,14.547,14.547,14.547
2016-05-25 12:10:00,,,5.032,,,,,,,,,,,,,,1.15,1.15,6.0,33.5,3.26,3.26,3.26,3.26,3.26,3.26
2016-06-22 14:50:00,,,4.009,,,,,,,,,,,,,,1.13,1.13,6.0,33.5,3.121,3.121,3.121,3.121,3.121,3.121
2016-07-22 11:00:00,,,7.059,,,,,,,,,,,,,,1.5,1.5,6.0,33.5,6.302,6.302,6.302,6.302,6.302,6.302
2016-08-08 08:40:00,,,4.676,,,,,,,,,,,,,,1.36,1.36,6.0,33.5,4.942,4.942,4.942,4.942,4.942,4.942
2016-08-26 13:55:00,,,3.475,,,,,,,,,,,,,,1.41,1.41,6.0,33.5,5.405,5.405,5.405,5.405,5.405,5.405
2016-09-23 09:20:00,,,7.059,,,,,,,,,,,,,,1.38,1.38,6.0,33.5,5.124,5.124,5.124,5.124,5.124,5.124
2016-10-04 14:40:00,,,7.059,,,,,,,,,,,,,,,,,,,,,,,
2017-04-28 10:05:00,,,6.25670050437,,,,,,,,,,,SDG-085,22.452,,,,,,,,,,,
2017-04-28 10:05:00,,,,,,,,,2.5,,,,,SDG-085,,,,,,,,,,,,
2017-05-09 16:40:00,,,20.1176985448,,,,,,,,,,,SDG-085,16.704,,2.44,2.44,6.0,33.5,21.134,21.134,21.134,21.134,21.134,21.134
2017-05-09 16:40:00,,,,,,,,,2.223256,,,,,SDG-085,,,2.44,2.44,6.0,33.5,21.134,21.134,21.134,21.134,21.134,21.134
2017-05-12 17:10:00,,,10.5668719629,,,,,,,,,,,SDG-085,8.476,,1.8,1.8,6.0,33.5,9.914,9.914,9.914,9.914,9.914,9.914
2017-05-12 17:10:00,,,,,,,,,1.6929143,,,,,SDG-085,,,1.8,1.8,6.0,33.5,9.914,9.914,9.914,9.914,9.914,9.914
2017-05-25 16:20:00,,,6.19747040626,,,,,,,,,,,SDG-085,6.302,,1.83,1.83,6.0,33.5,10.33,10.33,10.33,10.33,10.33,10.33
2017-05-25 16:20:00,,,,,,,,,1.5,,,,,SDG-085,,,1.83,1.83,6.0,33.5,10.33,10.33,10.33,10.33,10.33,10.33
2017-06-08 15:10:00,,,7.70324966098,,,,,,,,,,,SDG-085,4.009,,1.47,1.47,6.0,33.5,5.994,5.994,5.994,5.994,5.994,5.994
2017-06-08 15:10:00,,,,,,,,,1.25,,,,,SDG-085,,,1.47,1.47,6.0,33.5,5.994,5.994,5.994,5.994,5.994,5.994
2017-06-20 09:45:00,,,8.90787306475,,,,,,,,,,,SDG-085,5.032,,1.92,1.92,6.0,33.5,11.64,11.64,11.64,11.64,11.64,11.64
2017-06-20 09:45:00,,,,,,,,,1.375,,,,,SDG-085,,,1.92,1.92,6.0,33.5,11.64,11.64,11.64,11.64,11.64,11.64
2017-07-07 09:50:00,,,8.12328282151,,,,,,,,,,,SDG-085,6.302,,1.45,1.45,6.0,33.5,5.794,5.794,5.794,5.794,5.794,5.794
2017-07-07 09:50:00,,,8.04256366068,,,,,,,,,,,SDG-085,6.302,,1.45,1.45,6.0,33.5,5.794,5.794,5.794,5.794,5.794,5.794
2017-07-07 09:50:00,,,7.1902399447,,,,,,,,,,,SDG-085,6.302,,1.45,1.45,6.0,33.5,5.794,5.794,5.794,5.794,5.794,5.794
2017-07-07 09:50:00,,,,,,,,,1.5,6.066,,,,SDG-085,,-4.566,1.45,1.45,6.0,33.5,5.794,5.794,5.794,5.794,5.794,5.794
2017-07-07 09:50:00,,,,,,,,,1.5,6.066,,,,SDG-085,,-4.566,1.45,1.45,6.0,33.5,5.794,5.794,5.794,5.794,5.794,5.794
2017-07-07 09:50:00,,,,,,,,,1.5,6.066,,,,SDG-085,,-4.566,1.45,1.45,6.0,33.5,5.794,5.794,5.794,5.794,5.794,5.794
2017-07-07 09:50:00,,,,,,,,,1.5,6.066,,,,SDG-085,,-4.566,1.45,1.45,6.0,33.5,5.794,5.794,5.794,5.794,5.794,5.794
2017-07-07 09:50:00,,,,,,,,,1.5,6.066,,,,SDG-085,,-4.566,1.45,1.45,6.0,33.5,5.794,5.794,5.794,5.794,5.794,5.794
2017-07-07 09:50:00,,,,,,,,,1.5,6.066,,,,SDG-085,,-4.566,1.45,1.45,6.0,33.5,5.794,5.794,5.794,5.794,5.794,5.794
2017-07-07 09:50:00,,,,,,,,,1.5,6.066,,,,SDG-085,,-4.566,1.45,1.45,6.0,33.5,5.794,5.794,5.794,5.794,5.794,5.794
