Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-05-12 09:45:00,,,,,,1.181103,-1.852,,,CAR-072,3.033103,,,,,,,,,,
2017-05-24 11:10:00,,,,,,0.5,-2.243,,,CAR-072,2.743,,,,,,,,,,
2017-06-07 12:55:00,,,,,,0.75,-2.326,,,CAR-072,3.076,,,,,,,,,,
2017-06-19 13:20:00,,,,,,1.25,-1.971,,,CAR-072,3.221,,,,,,,,,,
2017-07-06 15:25:00,,,,,,0.9375,-2.052,,,CAR-072,2.9895,,,,,,,,,,
2017-07-06 15:25:00,,,,,,0.9375,-2.052,,,CAR-072,2.9895,,,,,,,,,,
2017-07-06 15:25:00,,,,,,0.9375,-2.052,,,CAR-072,2.9895,,,,,,,,,,
2017-07-06 15:25:00,,,,,,0.9375,-2.052,,,CAR-072,2.9895,,,,,,,,,,
2017-07-06 15:25:00,,,,,,0.9375,-2.052,,,CAR-072,2.9895,,,,,,,,,,
2017-07-06 15:25:00,,,,,,0.9375,-2.052,,,CAR-072,2.9895,,,,,,,,,,
2017-07-06 15:25:00,,,,,,0.9375,-2.052,,,CAR-072,2.9895,,,,,,,,,,
2017-07-06 15:25:00,,,,,,0.9375,-2.052,,,CAR-072,2.9895,,,,,,,,,,
2017-07-06 15:25:00,,,,,,0.9375,-2.052,,,CAR-072,2.9895,,,,,,,,,,
2017-07-20 10:35:00,,,,,,1.1811023622,-2.37,,,CAR-072,3.5511023622,,,,,,,,,,
2017-08-03 14:35:00,,,,,,0.944881889764,-2.48,,,CAR-072,3.42488188976,,,,,,,,,,
2017-08-03 14:50:00,,,,,,0.944881889764,-2.41,,,CAR-072,3.35488188976,,,,,,,,,,
2017-08-17 10:00:00,,,,,,1.08267716535,-2.06,,,CAR-072,3.14267716535,,,,,,,,,,
2017-08-17 10:25:00,,,,,,1.08267716535,-2.37,,,CAR-072,3.45267716535,,,,,,,,,,
2017-08-29 09:55:00,,,,,,1.1811023622,-2.22,,,CAR-072,3.4011023622,,,,,,,,,,
2017-08-29 10:05:00,,,,,,1.1811023622,-2.17,,,CAR-072,3.3511023622,,,,,,,,,,
2017-09-20 09:20:00,,,,,,1.37795275591,-1.98,,,CAR-072,3.35795275591,,,,,,,,,,
2017-09-20 09:50:00,,,,,,1.33858267717,-2.1,,,CAR-072,3.43858267717,,,,,,,,,,
2017-10-05 12:25:00,,,,,,0.905511811024,-2.45,,,CAR-072,3.35551181102,,,,,,,,,,
2018-05-25 09:10:00,,0.0,,,,,,,,CAR-072O,,0.1,0.1,6.0,48.0,0.007,0.007,0.007,0.007,0.007,0.007
2018-05-25 09:10:00,2018-05-25 09:15:00,,,,0.011811023622,0.011811023622,2.796,0.0,0.0,CAR-072O,-2.78418897638,0.1,0.1,6.0,48.0,0.007,0.007,0.007,0.007,0.007,0.007
2018-06-11 11:10:00,,0.237754619166,,,,,,,,CAR-072O,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-11 11:10:00,2018-06-11 11:15:00,,,,,0.354330708661,2.7,,0.163,CAR-072O,-2.34566929134,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-11 11:20:00,,0.39625769861,,,,,,,,CAR-072O,,0.22,0.22,6.0,48.0,0.051,0.051,0.051,0.051,0.051,0.051
2018-06-11 11:20:00,2018-06-11 11:25:00,,,,,0.511811023622,2.918,,0.418,CAR-072O,-2.40618897638,0.22,0.22,6.0,48.0,0.051,0.051,0.051,0.051,0.051,0.051
2018-06-26 09:55:00,2018-06-26 10:00:00,,,,,0.157480314961,2.669,,0.023,CAR-072O,-2.51151968504,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-10 16:15:00,2018-07-10 16:20:00,,,,,0.11811023622,2.594,,0.011,CAR-072O,-2.47588976378,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 15:50:00,,0.0158503079444,,,,,,,,CAR-072O,,0.13,0.13,6.0,48.0,0.014,0.014,0.014,0.014,0.014,0.014
2018-07-23 15:50:00,2018-07-23 15:55:00,,,,,0.196850393701,2.83,,0.04,CAR-072O,-2.6331496063,0.13,0.13,6.0,48.0,0.014,0.014,0.014,0.014,0.014,0.014
2018-08-06 17:35:00,2018-08-06 17:40:00,,,,,0.196850393701,2.877,,0.04,CAR-072O,-2.6801496063,0.18,0.18,6.0,48.0,0.031,0.031,0.031,0.031,0.031,0.031
2018-08-20 11:05:00,,0.0845349757035,,,,,,,,CAR-072O,,0.47,0.47,6.0,48.0,0.341,0.341,0.341,0.341,0.341,0.341
2018-08-20 11:05:00,2018-08-20 11:10:00,,,,,0.433070866142,3.167,,0.273,CAR-072O,-2.73392913386,0.47,0.47,6.0,48.0,0.341,0.341,0.341,0.341,0.341,0.341
2018-09-04 10:45:00,2018-09-04 10:50:00,,,,,0.236220472441,2.951,,0.063,CAR-072O,-2.71477952756,0.25,0.25,6.0,48.0,0.07,0.07,0.07,0.07,0.07,0.07
2018-09-18 16:15:00,,0.0,,,,,,,,CAR-072O,,0.02,0.02,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-18 16:15:00,2018-09-18 16:20:00,,,,0.0,0.0,2.719,0.0,0.0,CAR-072O,-2.719,0.02,0.02,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-27 11:40:00,2018-09-27 11:45:00,,,,,0.0,2.6,,0.0,CAR-072O,-2.6,0.0,0.03,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
